method,rmse_mean,rmse_lo95,rmse_hi95,rmse_pct_mean,rmse_pct_lo,rmse_pct_hi
9 Curve matching,49.379547957673445,49.06466044467732,49.70736335957854,35.92292057504079,35.693844376750604,36.16140162909996
10 Pure Kohek (holdout),36.75617832890618,36.120665914473314,37.42521945060113,26.350014994149113,25.894424603346586,26.82964166889784
11 Hybrid A (stratified),36.79821012228543,36.42911347608203,37.18609843350462,24.70337011425335,24.455588196904866,24.963767249961784
12 Hybrid B (stratified),37.59244198660706,37.22495839471881,38.00761249366984,25.236553756492196,24.98985471457785,25.515265972722595
