model,group,n,alpha,alpha_se,beta,beta_se,r2
Method 11 (ORNL 2017 anchor),High_coniferous,3626,8.0820103569596,0.06073818503916832,0.041004848400956515,0.0013418991090557249,0.20487085341236452
Method 11 (ORNL 2017 anchor),High_deciduous,143,2.6141151217116803,0.32258776446772586,0.16344249473848596,0.009894894938246294,0.6592883810650104
Method 11 (ORNL 2017 anchor),High_mixed,343,5.237219788363208,0.2228724720907066,0.09350102258883088,0.005150477497757831,0.49147168018105236
Method 11 (ORNL 2017 anchor),Low_coniferous,2099,2.6120919332757855,0.05287074160400801,0.11364636682292359,0.0035570037500535826,0.3274112687167987
Method 11 (ORNL 2017 anchor),Low_mixed,560,3.074072613469574,0.09009349781975372,0.09680308237893873,0.005971990821279462,0.3201327130556016
Method 11 (ORNL 2017 anchor),Medium_coniferous,2936,4.421174000444783,0.08068665614564814,0.09268879681089098,0.0028959314722261523,0.2587951224500699
Method 11 (ORNL 2017 anchor),Medium_deciduous,31,1.7399108274274913,0.6558960856593122,0.17498157526456648,0.026183530577996758,0.6063044409634593
Method 11 (ORNL 2017 anchor),Medium_mixed,443,4.030366133657271,0.17149372497427404,0.09778622140075302,0.0069097261033127175,0.31231093641488916
Method 12 (ORNL 2017 anchor),High_coniferous,3626,7.983712049282296,0.08917161108944757,0.036954021709680415,0.0017314068660766507,0.1116642377077656
Method 12 (ORNL 2017 anchor),High_deciduous,143,1.5561638376904103,0.39211146499761473,0.15339102258604057,0.009741341666082875,0.6374845912344516
Method 12 (ORNL 2017 anchor),High_mixed,343,4.160549898476575,0.2928078042115173,0.10188918366880673,0.005939672846574526,0.4632118472954638
Method 12 (ORNL 2017 anchor),Low_coniferous,2099,2.7072955101668215,0.07751898133549569,0.050404225885375506,0.0025778388236784213,0.154202178677159
Method 12 (ORNL 2017 anchor),Low_mixed,560,3.246205730234984,0.12540591794811878,0.04075977510385845,0.004111612362102458,0.14974555621852084
Method 12 (ORNL 2017 anchor),Medium_coniferous,2936,4.80562980597975,0.11547680148171546,0.052571276577349765,0.0028600941623781926,0.10326228034876268
Method 12 (ORNL 2017 anchor),Medium_deciduous,31,1.0405509298066835,0.8329801517619917,0.14070766185916714,0.023703782384371614,0.5485475082129478
Method 12 (ORNL 2017 anchor),Medium_mixed,443,4.518851000954077,0.24207690497616016,0.049235310725991126,0.006362261648359765,0.11956135358444128
